,titles,author,prices,formats
0,Atomic Habits,James Clear,£12.34,Paperback
1,Lessons in Chemistry,Bonnie Garmus,£8.13,Paperback
2,Gothikana: A Dark Academia Gothic Romance: TikTok Made Me Buy It!,RuNyx,£8.94,Paperback
3,The Glucose Goddess Method,Jessie Inchauspe,£19.69,Paperback
4,The Body Keeps the Score,Bessel van der Kolk,£11.95,Paperback
5,Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,£7.49,Paperback
6,Things We Hide From The Light,Lucy Score,£6.58,Paperback
7,Before the Coffee Gets Cold,Toshikazu Kawaguchi,£11.98,Paperback
8,Acceptance,Padraig O'Morain,£16.78,Paperback
9,Thousand Autumns: Qian Qiu (Novel) Vol. 1,Meng XI Shi,£18.98,Paperback
10,It Ends With Us: The most heartbreaking novel you'll ever read,Colleen Hoover,£7.49,Paperback
11,Daisy Jones and The Six,Taylor Jenkins Reid,£8.14,Paperback
12,Things We Never Got Over,Lucy Score,£6.59,Paperback
13,I'm a Fan,Sheena Patel,£10.18,Paperback
14,The Creative Act,Rick Rubin,£22.99,Hardback
15,Me vs Brain,Hayley Morris,£12.99,Hardback
16,The Letters I Will Never Send,Isabella Dorta,£13.77,Paperback
17,The Parenting Map,Dr Shefali Tsabary,£16.19,Paperback
18,The Psychology of Money,Morgan Housel,£15.18,Paperback
19,Foster,Claire Keegan,£7.19,Paperback
20,I Don't Need Therapy,Toni Lodge,£22.43,Paperback
21,Final Offer,Lauren Asher,£7.99,Paperback
22,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Manhua) Vol. 1,Mo Xiang Tong Xiu,£15.00,Paperback
23,"The Boy, The Mole, The Fox and The Horse",Charlie Mackesy,£11.99,Hardback
24,Small Things Like These,Claire Keegan,£10.18,Paperback
25,Zero Waste Patterns,Birgitta Helmersson,£17.90,Paperback
26,Twisted Games,Ana Huang,£8.99,Paperback
27,Verity,Colleen Hoover,£7.49,Paperback
28,Bored of Lunch: The Healthy Slow Cooker Book,Nathan Anthony,£12.93,Hardback
29,Twisted Love,Ana Huang,£7.02,Paperback
30,The One Thing,Gary Keller,£8.38,Paperback
31,Icebreaker,Hannah Grace,£7.49,Paperback
32,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 5 (Special Edition),Mo Xiang Tong Xiu;,£17.00,Paperback
33,The Prison Healer,Lynette Noni,£9.95,Paperback
34,The Silent Patient,Alex Michaelides,£9.98,Paperback
35,Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,£14.98,Hardback
36,The Invisible String,Patrice Karst,£5.99,Paperback
37,The Midnight Library,Matt Haig,£7.49,Paperback
38,Twisted Hate,Ana Huang,£7.02,Paperback
39,We Don't Know Ourselves,Fintan O'Toole,£10.35,Paperback
40,Young Forever,Mark Hyman,£17.52,Paperback
41,Berserk Deluxe Volume 13,Kentaro Miura,£34.97,Hardback
42,Meditations,Marcus Aurelius,£7.45,Paperback
43,Cleopatra and Frankenstein,Coco Mellors,£11.48,Paperback
44,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 5,Mo Xiang Tong Xiu,£13.89,Paperback
45,The Daily Stoic,Ryan Holiday,£13.10,Paperback
46,Once Upon A Broken Heart,Stephanie Garber,£9.98,Paperback
47,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 4,Mo Xiang Tong Xiu,£16.88,Paperback
48,Normal People,Sally Rooney,£7.49,Paperback
49,Our Wives Under The Sea,Julia Armfield,£9.41,Paperback
50,Spare,Prince Harry the Duke of Sussex,£17.02,Hardback
51,Conversations on Love,Natasha Lunn,£12.98,Paperback
52,"Thinking, Fast and Slow",Daniel Kahneman,£11.95,Paperback
53,Loss,Donna Ashworth,£11.25,Hardback
54,Strong Female Character,Fern Brady,£16.19,Hardback
55,Old Babes in the Wood,Margaret Atwood,£19.68,Hardback
56,Where the Crawdads Sing,Delia Owens,£7.49,Paperback
57,The Song of Achilles,Madeline Miller,£9.19,Paperback
58,Meditations,Marcus Aurelius,£7.85,Paperback
59,Everything I Know About Love,Dolly Alderton,£11.98,Paperback
60,Strange Sally Diamond,Liz Nugent,£12.99,Hardback
61,If We Were Villains: The Sensational TikTok Book Club pick,M. L. Rio,£8.27,Paperback
62,Classroom of the Elite (Light Novel) Vol. 9,Syougo Kinugasa,£7.02,Paperback
63,Twisted Lies,Ana Huang,£16.19,Paperback
64,Glucose Revolution,Jessie Inchauspe,£13.89,Paperback
65,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 4,Mo Xiang Tong Xiu,£14.29,Paperback
66,Legends & Lattes,Travis Baldree,£13.10,Hardback
67,12 Rules for Life,Jordan B. Peterson,£16.60,Paperback
68,Why Women Grow,Alice Vincent,£13.10,Hardback
69,Invisible Women,Caroline Criado Perez,£7.45,Paperback
70,A Good Girl's Guide to Murder,Holly Jackson,£19.68,Paperback
71,The Herbal Astrology Oracle,Adriana Ayales,£3.81,Cards
72,The Art of War,Sun Tzu,£10.99,Paperback
73,Homesick,Jennifer Croft,£13.98,Paperback
74,Scattered Minds,Gabor Mate,£10.58,Paperback
75,If He Had Been with Me,Laura Nowlin,£10.27,Paperback
76,The Untethered Soul,Michael A. Singer,£8.99,Paperback
77,No Longer Human,Osamu Dazai,£8.99,Paperback
78,Terms and Conditions,Lauren Asher,£12.98,Paperback
79,The Fine Print,Lauren Asher,£12.18,Paperback
80,Manifest,Roxie Nafousi,£16.19,Hardback
81,The Secret History,Donna Tartt,£16.60,Paperback
82,Unmasking Autism,Devon Price,£12.84,Hardback
83,Feminism Against Progress,Mary Harrington,£11.99,Hardback
84,Surrounded by Idiots,Thomas Erikson,£8.38,Paperback
85,Drama Free,Nedra Glover Tawwab,£19.68,Paperback
86,The Power of Now,Eckhart Tolle,£5.57,Paperback
87,Of Cabbages and Kimchi,James Read,£13.10,Hardback
88,The Very Hungry Caterpillar,Eric Carle,£13.99,Board book
89,Why We Sleep,Matthew Walker,£11.98,Paperback
90,the Silva Mind Control Method,Jose Silva,£16.10,Paperback
91,Never Split the Difference,Chris Voss,£13.57,Paperback
92,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 6,Mo Xiang Tong Xiu,£13.20,Paperback
93,Adult Children of Emotionally Immature Parents,Lindsay C Gibson,£12.98,Paperback
94,Six of Crows: Collector's Edition,Leigh Bardugo,£13.98,Hardback
95,Dopamine Nation,Dr Anna Lembke,£10.98,Paperback
96,Mindset - Updated Edition,Dr Carol Dweck,£16.96,Paperback
97,Start With Why,Simon Sinek,£7.63,Paperback
98,Children of Paradise,Camilla Grudova,£13.20,Hardback
99,A Court of Thorns and Roses,Sarah J. Maas,£8.09,Paperback
100,Crooked Kingdom Collector's Edition,Leigh Bardugo,£37.98,Hardback
101,A Man Called Ove,Fredrik Backman,£16.08,Paperback
102,Harry Potter Box Set: The Complete Collection (Children's Paperback),J. K. Rowling,£7.74,Paperback
103,Chip War,Chris Miller,£13.94,Paperback
104,The Bell Jar,Sylvia Plath,£9.48,Paperback
105,When the Body Says No,Gabor Mate,£13.89,Paperback
106,The Three-Body Problem,Cixin Liu,£11.23,Paperback
107,The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun (Novel) Vol. 2,Rou Bao Bu Chi Rou,£10.48,Paperback
108,Stolen Focus,Johann Hari,£22.38,Paperback
109,Heaven,Mieko Kawakami,£13.49,Paperback
110,How to Paint Without a Brush,Red Hong Yi,£10.24,Hardback
111,Legends & Lattes,Travis Baldree,£13.71,Paperback
112,All About Love,bell hooks,£15.44,Paperback
113,I'm Glad My Mom Died,Jennette McCurdy,£8.24,Hardback
114,The Invisible Life of Addie LaRue - Illustrated edition,V.E. Schwab,£10.63,Hardback
115,Rich Dad Poor Dad,Robert T. Kiyosaki,£10.98,Paperback
116,Rich Dad Poor Dad,Robert T. Kiyosaki,£12.77,Paperback
117,Better Than the Movies,Lynn Painter,£16.19,Paperback
118,A Little Life,Hanya Yanagihara,£10.99,Paperback
119,How To Do The Work,Nicole LePera,£13.57,Paperback
120,Magnolia Parks,Jessa Hastings,£6.99,Paperback
121,Sapiens,Yuval Noah Harari,£11.25,Paperback
122,TummyTime (R): Happy Baby,Duopress Labs,£13.89,Board book
123,The Concise 48 Laws Of Power,Robert Greene,£11.64,Paperback
124,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 3,Mo Xiang Tong Xiu,£12.77,Paperback
125,Dirty Laundry,Richard Pink,£14.67,Paperback
126,Attached,Amir Levine,£7.99,Paperback
127,"Vagabond (VIZBIG Edition), Vol. 1",Takehiko Inoue,£8.99,Paperback
128,"Chainsaw Man, Vol. 1",Tatsuki Fujimoto,£12.72,Paperback
129,Four Thousand Weeks,Oliver Burkeman,£10.28,Paperback
130,Birnam Wood,Eleanor Catton,£11.98,Paperback
131,The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun (Novel) Vol. 1,Rou Bao Bu Chi Rou,£6.20,Paperback
132,Lost & Found,Kathryn Schulz,£14.31,Paperback
133,Ugly Love,Colleen Hoover,£18.62,Paperback
134,Creative Stained Glass,Noor Springael,£7.51,Paperback
135,Black Butterflies,Priscilla Morris,£7.63,Hardback
136,1984,George Orwell,£16.98,Paperback
137,The Four Agreements,Don Miguel Ruiz,£16.34,Paperback
138,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,£14.07,Hardback
139,Becoming Supernatural,Dr Joe Dispenza,£12.75,Paperback
140,Death to Jar Sauce,Nat's What I Reckon,£13.35,Paperback
141,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 2,Mo Xiang Tong Xiu,£13.64,Paperback
142,Heaven Official's Blessing,Mo Xiang Tong Xiu,£21.48,Paperback
143,Blue Lock 5,Muneyuki Kaneshiro,£8.98,Paperback
